,x,y,u (m/s),v (m/s)
2052,0.0933332560024797,0.0032493754216735187,2.2161202296869966,-0.03176627715806638
2053,0.0944054933585037,0.0056639221397780035,3.745460971831069,-0.09012264607922106
2054,0.09999993296875807,0.0032501550400832542,2.328677496328756,-0.02532004869566663
2055,0.10096752090552834,0.00566408509083181,3.9226547073822977,-0.07145327879349793
2056,0.10666666908320624,0.0032510115251434208,2.4173059205686296,-0.01904782682280311
2057,0.09332105286236285,0.008776532152377576,5.462389376573532,-0.2127388161783125
2058,0.10762377597042777,0.005663354045686917,4.060330794238497,-0.0538085119674706
2059,0.0999758855494694,0.0087699474404217,5.727370492899385,-0.16851383301406267
2060,0.10663116020824513,0.008765972130818147,5.931130695226912,-0.12684395462590928
2061,0.09664706314057465,0.013735793163851182,8.05664758144715,-0.42947458206117634
2062,0.10327506091962312,0.013691663775659533,8.357539680042281,-0.3270731119103592
2063,0.10991904629554344,0.013698702266981212,8.595421443915827,-0.23544044905779568
2064,0.09336684180906674,0.02008263046682431,10.26987336886483,-0.9273169294752744
2065,0.0999322349240956,0.019938808772641876,10.663768432655745,-0.709557898283904
2066,0.10652924713843817,0.019874748881394125,10.960679215533846,-0.5176468385921086
2067,0.0967391944431565,0.027344562984392938,12.447505507703577,-1.3221988891563805
2068,0.103028299124445,0.02688507241081281,12.713928396262695,-0.9570880260297364
2069,0.09447527863337278,0.03604574451519334,13.531551617548187,-2.069831696635113
2070,0.10984438206822321,0.0269915552890388,12.987484813398686,-0.6338040461514282
2071,0.09957233133254785,0.03595143796100322,13.796199000195218,-1.633683905522065
2072,0.10577719598294787,0.033794113287278396,13.784281974339939,-1.03721885923871
2073,0.09790105397292681,0.043606532227829564,13.844484562611518,-2.060970911365498
2074,0.10541007687504234,0.04226613763768705,13.974424829757519,-1.1738793277821502
2075,0.09488498908196641,0.051602503259849,13.160726421334045,-2.6284645034947816
2076,0.10308159348856487,0.04955005809503584,13.355598531081027,-1.3676580126307092
2077,0.09306479202615182,0.06060120320799857,11.629347682834707,-2.9136774424929004
2078,0.10030749248566764,0.05612559911878978,12.280615976086874,-1.565477147431866
2079,0.10856917248333536,0.05683379417862683,11.452758043051931,0.0926430003392099
2080,0.10273963263928187,0.0660011079943379,9.323866901264639,-0.12400234699803127
2081,0.10033093531880621,0.07911511700244749,4.083364574602151,1.6859267814126608
2082,0.09838867452620531,0.09139884219583261,-2.1053376234951098,4.6024810567419445
2083,0.09457537319977571,0.10193621570329574,-7.4245743000127336,7.0142577688597765
2084,0.11011772122264718,0.08926736810070489,-5.587972840540991,9.388890682357717
2085,0.09246064613841878,0.9942992526581294,969.3182747440214,8.54213127276441
2086,0.09333295436296654,0.9967179468250774,1212.572171506428,2.9813838416026
2087,0.0991197076275099,0.994291938785695,986.4985037896107,7.715555966602083
2088,0.09999969515297269,0.9967149464312343,1223.268564350879,2.7078045608936963
2089,0.09824048791211547,0.1124208285847928,-17.19441975050955,15.11259361770067
2090,0.10817584271168684,0.10266414411912628,-15.16306904041038,15.494847149881055
2091,0.10167037297547124,0.12304175518681318,-29.235343701198293,25.839383463800356
2092,0.09558657063710496,0.1336593050917541,-33.93163449799483,29.458874123091906
2093,0.10568397463546725,0.9942897716371092,1002.2830336093465,6.9068808110893665
2094,0.10666644520154651,0.9967126699060072,1232.8062790507788,2.4012019321234104
2095,0.0935264495839726,0.9912039986476069,701.5204721814644,18.46165802019621
2096,0.10019515865353752,0.9911865509848391,723.3731049751215,16.840107147274264
