,x,y,u (m/s),v (m/s),p (Pa)
2343,0.97540826,0.36153752,0.024951031,-8.42261E-06,0.003442439
2344,0.98534805,0.3454296,0.03176563,-1.30749E-05,0.003414513
2345,0.995282,0.329367,0.03782502,-1.75349E-05,0.003386612
2346,1.0052081,0.31337565,0.043127004,-2.1246E-05,0.003358742
2347,1.0151005,0.29749656,0.047670476,-2.38029E-05,0.003330974
2348,1.0249139,0.28178042,0.051459815,-2.49715E-05,0.003303431
2349,1.0346133,0.2662708,0.05450972,-2.46944E-05,0.003276203
2350,1.0441955,0.25097993,0.0568464,-2.3089E-05,0.00324929
2351,1.0536901,0.23587012,0.05850214,-2.03847E-05,0.0032226
2352,1.0631464,0.22085758,0.059504393,-1.6868E-05,0.003195985
2353,1.0726161,0.20583926,0.05986598,-1.28494E-05,0.003169294
2354,1.0821022,0.1908062,0.059585676,-8.66774E-06,0.003142512
2355,1.0916331,0.17569841,0.058656253,-4.63884E-06,0.003115557
2356,1.101249,0.16041766,0.057055134,-1.03497E-06,0.003088315
2357,1.1109725,0.14489467,0.05474725,1.91113E-06,0.00306072
2358,1.1208019,0.12912083,0.051697847,4.0232E-06,0.003032781
2359,1.1307133,0.113151565,0.04788686,5.2114E-06,0.003004566
2360,1.1406739,0.09706819,0.043311954,5.49737E-06,0.002976176
2361,1.1506572,0.080929,0.03797763,5.01281E-06,0.00294769
2362,1.1606488,0.06475911,0.03188606,3.97491E-06,0.002919156
2363,1.1706425,0.04857268,0.025039412,2.65702E-06,0.002890596
2364,1.1806363,0.032381788,0.017441649,1.35956E-06,0.002862021
2365,0.98537385,0.3776753,0.017378638,-3.08801E-06,0.003414097
2366,0.99532056,0.36153504,0.024945907,-6.15919E-06,0.003386105
2367,1.0052614,0.34542653,0.031759735,-9.55102E-06,0.003358132
2368,1.0151974,0.32936558,0.03781815,-1.27688E-05,0.00333018
2369,1.0251249,0.3133783,0.04311919,-1.53851E-05,0.003302259
2370,1.0350175,0.2975045,0.047662277,-1.70771E-05,0.003274444
2371,1.0448308,0.28179213,0.051452413,-1.76738E-05,0.003246853
2372,1.054532,0.26628378,0.054504056,-1.71509E-05,0.003219574
2373,1.0641192,0.25099182,0.056842897,-1.56031E-05,0.003192601
2374,1.0736219,0.23587938,0.058500715,-1.32141E-05,0.003165843
2375,1.083088,0.22086371,0.059504587,-1.02186E-05,0.003139159
2376,1.0925682,0.2058427,0.059867218,-6.8764E-06,0.0031124
2377,1.102064,0.19080783,0.059587415,-3.47309E-06,0.003085558
2378,1.1116037,0.17569894,0.058658052,-2.7384E-07,0.003058549
2379,1.1212267,0.16041775,0.057056673,2.4923E-06,0.003031263
2380,1.1309552,0.14489467,0.054748297,4.63315E-06,0.003003635
2381,1.1407876,0.1291208,0.05169825,6.01055E-06,0.002975673
2382,1.1507004,0.11315155,0.04788655,6.56672E-06,0.002947446
2383,1.1606613,0.09706818,0.04331098,6.34425E-06,0.00291905
2384,1.1706446,0.080929,0.037976142,5.48188E-06,0.002890563
2385,1.1806363,0.06475911,0.031884287,4.19078E-06,0.002862032
2386,1.1906301,0.04857268,0.025037626,2.72754E-06,0.002833478
2387,1.2006238,0.032381788,0.017440157,1.36723E-06,0.00280491
2388,1.005286,0.37767455,0.01737559,-2.14458E-06,0.003357783
2389,1.0152326,0.36153278,0.024942316,-4.27868E-06,0.00332975
2390,1.0251733,0.34542307,0.0317558,-6.62211E-06,0.003301735
2391,1.0351096,0.32936352,0.037813343,-8.80346E-06,0.00327374
2392,1.0450372,0.31338042,0.043113276,-1.04986E-05,0.003245777
2393,1.0549295,0.29751238,0.047655623,-1.14707E-05,0.00321792
2394,1.0647435,0.2818047,0.05144604,-1.1595E-05,0.003190284
2395,1.074448,0.2662974,0.054499164,-1.08639E-05,0.003162951
2396,1.084042,0.25100338,0.056839984,-9.36027E-06,0.003135915
2397,1.0935541,0.23588741,0.058499616,-7.23303E-06,0.00310909
2398,1.1030312,0.2208684,0.059504792,-4.67718E-06,0.003082336
2399,1.1125218,0.20584491,0.059868187,-1.91116E-06,0.003055512
2400,1.1220272,0.19080852,0.059588682,8.24515E-07,0.003028611
2401,1.1315752,0.17569901,0.058659278,3.31065E-06,0.003001553
2402,1.1412048,0.16041772,0.057057615,5.35756E-06,0.002974226
2403,1.150938,0.14489464,0.054748766,6.81049E-06,0.002946567
2404,1.1607734,0.12912078,0.05169812,7.56564E-06,0.002918584
2405,1.1706874,0.11315154,0.04788579,7.59353E-06,0.002890345
2406,1.1806488,0.097068176,0.043309662,6.95441E-06,0.002861944
2407,1.1906322,0.080929,0.037974413,5.79174E-06,0.002833457
