,x,y,u (m/s),v (m/s),p (Pa)
187,0.49105766,0.016159687,0.05632829,0.000924297,0.022717096
188,0.5010604,0,0,0,0.022578618
189,0.26804173,0.39562425,0.0953622,-0.001022799,0.029874258
190,0.27712977,0.41,0,0,0.028870648
191,0.51104414,0.016177993,0.054282267,0.000743086,0.022653278
192,0.52104795,0,0,0,0.022525443
193,0.2860513,0.3955278,0.0934564,-0.001509852,0.02821442
194,0.29528534,0.41,0,0,0.027299285
195,0.53103554,0.01618637,0.05260318,0.000590926,0.022567948
196,0.5410355,0,0,0,0.022445135
197,0.30426008,0.3953364,0.090995066,-0.001880892,0.026851945
198,0.31354094,0.41,0,0,0.026041662
199,0.5510262,0.016189447,0.05124088,0.000467739,0.022457166
200,0.561023,0,0,0,0.022335108
201,0.3226729,0.39506364,0.08819967,-0.00210277,0.025772309
202,0.33212423,0.41,0,0,0.025069017
203,0.5710155,0.016190413,0.050143726,0.000369981,0.022319408
204,0.5810105,0,0,0,0.02219506
205,0.34137106,0.39481854,0.08474813,-0.00218924,0.024945619
206,0.35094443,0.41,0,0,0.024346808
207,0.59100384,0.016190737,0.049260683,0.000294262,0.022154672
208,0.60099804,0,0,0,0.022026012
209,0.36028722,0.3945902,0.08100355,-0.002169367,0.024332369
210,0.36984465,0.41,0,0,0.02383063
211,0.61099166,0.016190846,0.048545588,0.000236752,0.021964116
212,0.62098557,0,0,0,0.02182998
213,0.3794177,0.39440694,0.07704814,-0.002059563,0.023886906
214,0.38906178,0.41,0,0,0.023471648
215,0.6309793,0.016190879,0.047959525,0.000193961,0.021749672
216,0.6409731,0,0,0,0.02160953
217,0.39874884,0.39425603,0.073147334,-0.001891289,0.023572993
218,0.4083795,0.41,0,0,0.02323178
219,0.6509669,0.01619089,0.047470745,0.000162838,0.0215137
220,0.6609606,0,0,0,0.021367501
221,0.41827378,0.39412346,0.06952061,-0.001673561,0.023353638
222,0.42803934,0.41,0,0,0.023073247
223,0.6709544,0.016190892,0.04705392,0.000140777,0.021258779
224,0.68094814,0,0,0,0.021106804
225,0.43795022,0.39402515,0.06618173,-0.001453224,0.023197522
226,0.44779298,0.41,0,0,0.022963792
227,0.69094193,0.016190894,0.046689324,0.000125571,0.020987531
228,0.70093566,0,0,0,0.020830283
229,0.45774218,0.39393312,0.06328016,-0.001239237,0.023076966
230,0.4676725,0.41,0,0,0.022878688
231,0.71092945,0.016190894,0.04636197,0.000115402,0.020702505
232,0.7209232,0,0,0,0.020540621
233,0.47761706,0.39388895,0.0606554,-0.001036375,0.022973174
234,0.4875843,0.41,0,0,0.022800718
235,0.730917,0.016190894,0.046060737,0.000108835,0.020406095
236,0.7409107,0,0,0,0.020240273
237,0.4975217,0.39386463,0.058397926,-0.000855098,0.022871353
238,0.5074961,0.41,0,0,0.022716697
239,0.7509045,0.016190894,0.04577757,0.000104755,0.020100493
240,0.76089823,0,0,0,0.019931447
241,0.517438,0.39384913,0.05650469,-0.000698361,0.022761341
242,0.52740794,0.41,0,0,0.022617899
243,0.770892,0.016190894,0.04550685,0.000102297,0.019787658
244,0.78088576,0,0,0,0.019616086
245,0.5373556,0.39384225,0.054925162,-0.000566303,0.022636387
246,0.5473197,0.41,0,0,0.022498962
247,0.79087955,0.016190894,0.045244817,0.00010082,0.019469326
248,0.8008733,0,0,0,0.01929588
249,0.55727124,0.39383817,0.053625602,-0.000457974,0.022492332
250,0.56723154,0.41,0,0,0.022356927
251,0.8108671,0.016190894,0.044989068,9.98746E-05,0.019147
252,0.8208608,0,0,0,0.018972278
253,0.5771847,0.3938359,0.052558176,-0.00037097,0.022327019
254,0.58714336,0.41,0,0,0.022190735
255,0.8308546,0.016190894,0.044738226,9.9122E-05,0.018821966
256,0.8408483,0,0,0,0.018646505
257,0.5970974,0.39383456,0.051679626,-0.000302517,0.022139812
258,0.6070552,0.41,0,0,0.02200067
259,0.8508421,0.016190894,0.04449162,9.83449E-05,0.018495316
260,0.86083585,0,0,0,0.018319583
261,0.61701006,0.39383385,0.050950907,-0.000249767,0.021931188
262,0.62696695,0.41,0,0,0.02178796
263,0.87082964,0.016190894,0.0442491,9.73972E-05,0.018167961
264,0.8808234,0,0,0,0.017992359
265,0.63692236,0.39383355,0.05033879,-0.000209972,0.021702407
266,0.6468788,0.41,0,0,0.021554453
267,0.89081717,0.016190894,0.044010837,9.6195E-05,0.017840654
268,0.9008109,0,0,0,0.017665524
269,0.65683424,0.39383343,0.04981619,-0.00018058,0.021455225
270,0.6667906,0.41,0,0,0.02130235
271,0.9108047,0.016190894,0.043777194,9.47059E-05,0.017514003
272,0.9207984,0,0,0,0.017339632
273,0.67674583,0.3938333,0.049361087,-0.000159339,0.021191666
274,0.68670243,0.41,0,0,0.021033993
275,0.9307922,0.016190894,0.043548618,9.29302E-05,0.017188502
276,0.94078594,0,0,0,0.01701512
277,0.6966573,0.39383322,0.048955616,-0.000144363,0.02091386
278,0.7066142,0.41,0,0,0.02075173
279,0.95077974,0.016190894,0.043325562,9.08878E-05,0.016864542
280,0.96077347,0,0,0,0.016692331
281,0.71656877,0.39383322,0.048586,-0.000134112,0.020623919
282,0.726526,0.41,0,0,0.020457815
283,0.97076726,0.016190894,0.043108463,8.86085E-05,0.016542418
284,0.980761,0,0,0,0.016371526
285,0.73648053,0.39383328,0.048241876,-0.000127325,0.020323873
286,0.74643785,0.41,0,0,0.020154363
287,0.9907548,0.016190894,0.042897712,8.61274E-05,0.016222363
288,1.0007485,0,0,0,0.016052896
289,0.7563926,0.3938334,0.047915626,-0.000122981,0.02001562
290,0.7663497,0.41,0,0,0.01984331
291,1.0107423,0.016190894,0.042693626,8.34818E-05,0.015904546
292,1.0207361,0,0,0,0.015736584
293,0.7763048,0.3938335,0.047602154,-0.000120269,0.019700894
294,0.78626144,0.41,0,0,0.019526388
295,1.0307299,0.016190894,0.04249646,8.07092E-05,0.015589083
296,1.0407236,0,0,0,0.015422681
297,0.79621696,0.39383337,0.04729804,-0.000118568,0.019381246
298,0.80617326,0.41,0,0,0.019205116
299,1.0507174,0.016190894,0.042306397,7.78456E-05,0.015276053
300,1.0607111,0,0,0,0.015111244
301,0.8161291,0.39383325,0.047000494,-0.00011743,0.019058028
302,0.8260851,0.41,0,0,0.018880805
303,1.0707049,0.016190894,0.042123545,7.49247E-05,0.014965501
304,1.0806986,0,0,0,0.014802299
305,0.83604103,0.39383328,0.04670755,-0.000116547,0.018732416
306,0.8459969,0.41,0,0,0.01855458
307,1.0906924,0.016190894,0.04194796,7.19764E-05,0.014657443
308,1.1006862,0,0,0,0.01449585
309,0.8559526,0.39383337,0.04641872,-0.000115695,0.018405411
310,0.8659087,0.41,0,0,0.018227387
311,1.11068,0.016190894,0.041779622,6.90271E-05,0.014351875
312,1.1206737,0,0,0,0.014191879
313,0.8758641,0.3938334,0.046134237,-0.000114708,0.018077862
314,0.8858205,0.41,0,0,0.017900024
315,1.1306674,0.016190894,0.041618478,6.60989E-05,0.014048775
316,1.1406612,0,0,0,0.013890356
317,0.8957757,0.39383346,0.04585386,-0.0001135,0.017750466
318,0.90573233,0.41,0,0,0.017573133
319,1.150655,0.016190894,0.041464422,6.32105E-05,0.013748108
320,1.1606487,0,0,0,0.013591237
321,0.91568726,0.3938337,0.045577496,-0.000112052,0.017423803
322,0.92564416,0.41,0,0,0.017247243
323,1.1706425,0.016190894,0.041317314,6.03767E-05,0.013449829
324,1.1806363,0,0,0,0.013294472
325,0.93559885,0.39383394,0.045306034,-0.000110357,0.01709834
326,0.9455559,0.41,0,0,0.01692278
327,1.1906301,0.016190894,0.04117699,5.76092E-05,0.013153883
328,1.2006238,0,0,0,0.013000003
329,0.9555105,0.39383394,0.045040477,-0.0001084,0.016774457
330,0.96546775,0.41,0,0,0.016600082
331,1.2106175,0.016190894,0.041043263,5.49169E-05,0.012860211
332,1.2206113,0,0,0,0.012707765
333,0.97542244,0.3938338,0.04478105,-0.000106193,0.01645245
334,0.9853796,0.41,0,0,0.016279403
335,1.2306051,0.016190894,0.04091593,5.23067E-05,0.012568748
336,1.2405988,0,0,0,0.012417693
337,0.9953344,0.39383373,0.044527613,-0.000103774,0.016132545
338,1.0052913,0.41,0,0,0.015960934
339,1.2505926,0.016190894,0.040794775,4.97832E-05,0.012279426
340,1.2605864,0,0,0,0.012129716
341,1.0152462,0.39383373,0.044280443,-0.000101181,0.015814908
342,1.0252032,0.41,0,0,0.015644817
343,1.2705802,0.016190894,0.040679574,4.73498E-05,0.011992176
344,1.2805738,0,0,0,0.011843764
345,1.035158,0.3938337,0.044040166,-9.84445E-05,0.015499664
346,1.045115,0.41,0,0,0.015331151
347,1.2905676,0.016190894,0.040570103,4.50085E-05,0.011706927
348,1.3005614,0,0,0,0.011559766
349,1.05507,0.3938336,0.04380712,-9.55912E-05,0.015186894
350,1.0650268,0.41,0,0,0.015020003
351,1.3105552,0.016190894,0.040466134,4.27604E-05,0.011423606
352,1.3205489,0,0,0,0.01127765
353,1.0749819,0.39383352,0.043581363,-9.26498E-05,0.014876651
354,1.0849386,0.41,0,0,0.014711404
355,1.3305427,0.016190894,0.040367432,4.06054E-05,0.011142144
356,1.3405365,0,0,0,0.010997343
357,1.0948938,0.3938334,0.043362938,-8.96463E-05,0.01456896
358,1.1048504,0.41,0,0,0.014405362
359,1.3505303,0.016190894,0.04027378,3.85431E-05,0.010862467
360,1.3605239,0,0,0,0.010718777
361,1.1148057,0.3938333,0.04315192,-8.66075E-05,0.014263822
362,1.1247623,0.41,0,0,0.014101869
363,1.3705177,0.016190894,0.040184937,3.65721E-05,0.010584507
364,1.3805115,0,0,0,0.010441882
365,1.1347175,0.39383313,0.04294857,-8.35571E-05,0.013961216
366,1.1446741,0.41,0,0,0.013800893
367,1.3905053,0.016190894,0.0401007,3.46905E-05,0.010308195
368,1.400499,0,0,0,0.010166589
369,1.1546295,0.39383274,0.04275311,-8.05125E-05,0.013661112
370,1.1645858,0.41,0,0,0.013502396
371,1.4104928,0.016190894,0.040020842,3.28963E-05,0.010033462
372,1.4204866,0,0,0,0.009892833
373,1.1745416,0.39383233,0.042565126,-7.74944E-05,0.013363462
374,1.1844977,0.41,0,0,0.013206324
375,1.4304804,0.016190894,0.039945163,3.1187E-05,0.009760245
376,1.440474,0,0,0,0.00962055
377,1.1944535,0.39383212,0.04238393,-7.45225E-05,0.013068217
378,1.2044095,0.41,0,0,0.012912623
379,1.4504678,0.016190894,0.03987346,2.95598E-05,0.009488478
380,1.4604616,0,0,0,0.009349677
381,1.2143654,0.39383206,0.04220943,-7.15773E-05,0.012775323
382,1.2243212,0.41,0,0,0.012621227
383,1.4704554,0.016190894,0.03980553,2.80118E-05,0.009218101
384,1.4804491,0,0,0,0.009080153
385,1.2342751,0.39383358,0.042038035,-6.86925E-05,0.012484733
386,1.2442331,0.41,0,0,0.01233208
387,1.4904429,0.016190894,0.039741192,2.65401E-05,0.008949053
388,1.5004367,0,0,0,0.00881192
389,1.2541866,0.39383358,0.04187719,-6.58857E-05,0.012196342
390,1.2641449,0.41,0,0,0.012045097
391,1.5104305,0.016190894,0.03968027,2.51415E-05,0.008681275
392,1.5204241,0,0,0,0.008544921
393,1.2740986,0.39383367,0.041722856,-6.31557E-05,0.01191008
394,1.2840567,0.41,0,0,0.01176021
395,1.5304179,0.016190894,0.039622582,2.3813E-05,0.008414714
396,1.5404117,0,0,0,0.008279102
397,1.2940109,0.3938337,0.041575115,-6.04962E-05,0.011625886
398,1.3039685,0.41,0,0,0.011477348
399,1.5504055,0.016190894,0.039567973,2.25515E-05,0.008149312
400,1.5603992,0,0,0,0.00801441
401,1.3139231,0.39383367,0.041433863,-5.79057E-05,0.011343691
402,1.3238803,0.41,0,0,0.011196437
403,1.570393,0.016190894,0.03951628,2.13543E-05,0.00788502
404,1.5803868,0,0,0,0.007750794
405,1.333835,0.3938336,0.04129873,-5.53987E-05,0.011063418
406,1.3437922,0.41,0,0,0.010917397
407,1.5903805,0.016190894,0.039467353,2.02186E-05,0.007621788
408,1.6003742,0,0,0,0.007488206
409,1.3537469,0.39383364,0.041169357,-5.29809E-05,0.010784992
410,1.363704,0.41,0,0,0.010640156
411,1.610368,0.016190894,0.039421048,1.91416E-05,0.007359566
412,1.6203618,0,0,0,0.007226598
413,1.3736588,0.3938337,0.041045535,-5.0647E-05,0.010508338
414,1.3836157,0.41,0,0,0.010364642
415,1.6303556,0.016190894,0.03937723,1.81201E-05,0.007098309
416,1.6403493,0,0,0,0.006965926
417,1.3935708,0.39383373,0.04092732,-4.8392E-05,0.010233386
418,1.4035276,0.41,0,0,0.01009079
419,1.6503431,0.016190894,0.03933577,1.7151E-05,0.006837973
420,1.6603369,0,0,0,0.006706147
421,1.4134829,0.39383355,0.040814865,-4.62111E-05,0.009960068
422,1.4234394,0.41,0,0,0.009818526
423,1.6703306,0.016190894,0.03929654,1.6232E-05,0.006578514
424,1.6803243,0,0,0,0.006447218
425,1.433395,0.39383322,0.040707875,-4.41071E-05,0.009688312
426,1.4433511,0.41,0,0,0.009547777
427,1.6903181,0.016190894,0.03925943,1.53622E-05,0.006319892
428,1.7003119,0,0,0,0.006189101
429,1.453307,0.39383298,0.04060559,-4.20949E-05,0.009418049
430,1.463263,0.41,0,0,0.00927847
431,1.7103057,0.016190894,0.039224315,1.45407E-05,0.006062068
432,1.7202994,0,0,0,0.005931757
433,1.4732187,0.39383298,0.040507466,-4.01798E-05,0.009149209
434,1.4831748,0.41,0,0,0.009010541
435,1.7302932,0.016190894,0.039191093,1.37631E-05,0.005805004
436,1.740287,0,0,0,0.005675151
437,1.4931302,0.39383313,0.040413402,-3.83506E-05,0.008881729
438,1.5030867,0.41,0,0,0.008743934
439,1.7502807,0.016190894,0.03915966,1.30286E-05,0.005548664
440,1.7602744,0,0,0,0.005419246
441,1.5130419,0.39383337,0.040323447,-3.65946E-05,0.008615552
442,1.5229985,0.41,0,0,0.008478595
443,1.7702682,0.016190894,0.039129905,1.23426E-05,0.005293017
444,1.780262,0,0,0,0.00516401
445,1.5329534,0.39383355,0.040237743,-3.49006E-05,0.008350624
446,1.5429102,0.41,0,0,0.008214469
447,1.7902558,0.016190894,0.039101705,1.17118E-05,0.005038028
448,1.8002495,0,0,0,0.004909413
449,1.5528651,0.39383364,0.04015626,-3.32652E-05,0.008086886
450,1.5628221,0.41,0,0,0.007951498
451,1.8102432,0.016190894,0.039074942,1.11289E-05,0.004783669
452,1.820237,0,0,0,0.004655428
453,1.572777,0.39383367,0.040078666,-3.16969E-05,0.007824281
454,1.5827339,0.41,0,0,0.007689625
455,1.8302308,0.016190894,0.039049525,1.05809E-05,0.004529916
456,1.8402245,0,0,0,0.004402033
457,1.5926888,0.39383376,0.040004667,-3.02005E-05,0.007562756
458,1.6026456,0.41,0,0,0.007428797
459,1.8502183,0.016190894,0.039025363,1.00694E-05,0.004276746
460,1.8602121,0,0,0,0.004149204
461,1.6126007,0.39383385,0.039934088,-2.8776E-05,0.007302258
462,1.6225575,0.41,0,0,0.007168962
463,1.8702059,0.016190894,0.03900235,9.60918E-06,0.004024137
464,1.8801997,0,0,0,0.00389692
465,1.8901933,0.016190894,0.03898037,9.20614E-06,0.003772069
466,1.9001871,0,0,0,0.003645161
467,1.6325123,0.3938339,0.039866883,-2.7421E-05,0.007042739
468,1.6424693,0.41,0,0,0.006910076
469,1.9101809,0.016190894,0.038959276,8.86241E-06,0.003520527
470,1.9201747,0,0,0,0.003393914
471,1.6524241,0.39383385,0.03980318,-2.61243E-05,0.006784153
472,1.6623812,0.41,0,0,0.006652094
473,1.9301684,0.016190814,0.03893874,8.58319E-06,0.003269498
474,1.9401622,0,0,0,0.003143156
475,1.9501561,0.016189976,0.038916957,8.44909E-06,0.003018966
476,1.9601498,0,0,0,0.002892867
477,1.9701438,0.016187213,0.038890768,8.61763E-06,0.00276894
478,1.9801372,0,0,0,0.002643052
479,1.672336,0.39383364,0.03974284,-2.48776E-05,0.006526455
480,1.6822929,0.41,0,0,0.006394971
481,1.9901313,0.016182924,0.038860176,9.40794E-06,0.002519471
482,2.0001247,0,0,0,0.002393799
483,1.6922477,0.39383352,0.03968514,-2.36925E-05,0.006269601
484,1.7022047,0.41,0,0,0.006138661
485,2.010118,0.016180148,0.038830686,1.08552E-05,0.002270712
486,2.0201123,0,0,0,0.002145235
487,2.0301015,0.016182242,0.03880844,1.28225E-05,0.002022809
488,2.0400999,0,0,0,0.001897374
489,1.7121596,0.39383364,0.039629634,-2.25804E-05,0.006013548
490,1.7221166,0.41,0,0,0.005883127
491,2.0500963,0.016187614,0.038787547,1.67989E-05,0.001775793
492,2.0600874,0,0,0,0.001650284
493,2.0700998,0.016200675,0.03877122,2.56589E-05,0.001530081
494,2.0800748,0,0,0,0.001404399
495,1.7320714,0.3938338,0.039576728,-2.15274E-05,0.005758261
496,1.7420284,0.41,0,0,0.005628337
497,2.0901356,0.016214494,0.038728464,4.28486E-05,0.001286769
498,2.1000624,0,0,0,0.001160229
499,2.1102242,0.01624863,0.038677085,7.8239E-05,0.001047872
500,2.12005,0,0,0,0.000917164
501,1.7519834,0.3938337,0.039526798,-2.05123E-05,0.005503705
502,1.7619401,0.41,0,0,0.005374258
503,2.1303265,0.016138587,0.038164254,0.000171135,0.000819511
504,2.1400375,0,0,0,0.000672523
505,2.1502883,0.015548752,0.0361942,0.000502244,0.000618166
506,2.160025,0,0,0,0.000479631
507,1.7718955,0.39383352,0.039479427,-1.95365E-05,0.005249847
508,1.781852,0.41,0,0,0.005120852
