x,y,u (m/s),v (m/s),p (Pa)
0.3521207937568049,0.0266447726150098,0.0095841921663498,-8.21451244102932e-05,1.022848740420561
0.3521424705582951,0.0239961846335243,0.0104890357458403,-0.00012082618798025484,1.0229410239365506
0.9499999999999998,0.0011684359594232,0.0010846910077333,-0.0002537965747306725,1.0001782155690742
0.9489717693874912,0.0009759146564240602,0.0008302427751440396,-2.1354495835739723e-06,1.0000757621847762
0.9499999999999998,0.000589249451847629,0.0005873807883052347,-0.00012640500612453467,1.0007070383562906
0.9499999999999998,0.002127036911418,0.0019200253313084,-0.0002954763410159536,0.9998878501609646
0.9487454848337954,0.0015120196767577,0.0013358911934996,1.7999550585424087e-05,0.9999102356758168
0.9499999999999998,0.0034899712262478,0.0030786768962092,-0.0002582316227810391,0.9998853885200146
0.9482225116245016,0.0027320784327655,0.0024380958441098,4.36878469881825e-05,0.9998709315883244
0.9499999999999996,0.0055355087502484,0.0045676200394162,-0.000160361651079413,1.0000239567841118
0.9482687703505032,0.0043970009222989,0.0037847878577008,-4.685418109458094e-06,0.9999264810383844
0.9481289363724362,0.0070414869527865,0.0055219116687839,-1.508522515723381e-05,1.000017905512132
0.9499999999999998,0.0082113281902265,0.0062083920709367,-0.0001082809697664868,1.0000818206584356
0.948005535664316,0.0101391212399886,0.0071991813975043,-1.6766235204185594e-05,1.0000627553197126
0.9499999999999996,0.0116100819815545,0.00786808127001,-6.773165017797292e-05,1.000117494615781
0.9479116529078028,0.0133405370424948,0.008512941389858,-8.737544443647398e-06,1.00012519690374
0.9499999999999998,0.0146864089137106,0.0089175461335,-3.204946195158239e-05,1.0001423793845234
0.9478763762062014,0.0159967245823566,0.0091845710196056,-8.900535948386522e-06,1.0001159175106231
0.9499999999999996,0.0173431467268476,0.0093863740748052,-1.6356658799825403e-05,1.000089829466605
0.9478640166673564,0.0186624533160486,0.0094912032133057,-3.984637710283682e-06,1.0001199396557217
0.9499999999999998,0.02,0.0095337652417429,-2.2177726274494315e-06,1.0001163366452488
0.9478608716955036,0.0213323122555375,0.0094985243191689,6.356928865485125e-07,1.0001221098214277
0.9499999999999996,0.0226568912174528,0.0093954179025087,1.4188705031041829e-05,1.000087115058629
0.94786987853439,0.0239974997681914,0.0091928148116019,6.892047041165811e-06,1.000107242433325
0.9499999999999996,0.0253136200330939,0.008917617151402,3.164974733943987e-05,1.000127840029725
0.9478975837277764,0.0266491477190473,0.0085215983470825,6.763611419293477e-06,1.0001208171164906
0.9499999999999998,0.0282742031591264,0.0079413179184529,6.19796129529304e-05,1.0001223619265185
0.9479340941780556,0.0294726384013512,0.0074009016243491,1.097049383586595e-05,1.00006837750889
0.9499999999999998,0.0315937987690822,0.0063128383101041,0.0001019964520053582,1.0000763924021072
0.9481188140271476,0.0329226532454652,0.0055618286244392,2.191208185626434e-05,1.0000234536414994
0.9499999999999998,0.0341482134929981,0.0047972422857681,0.00016149818691292664,1.00008614807714
0.9482667050799732,0.0352244134715748,0.0040422351020928,-6.370610507361179e-07,0.9999207271322038
0.9499999999999998,0.0367026282169139,0.0029132672998725,0.0002643429358455924,0.9998549765637657
0.9499999999999998,0.0380181974983646,0.0017821764644742,0.00029296165432267726,0.9998403939000464
0.9484618955275944,0.0371274564429282,0.0025531150729268,-2.249093032234849e-05,0.9998547634448766
0.9499999999999998,0.0387360411711948,0.0011648947256315,0.00026666351223753027,1.000241035096482
0.9485993150859464,0.0383719064918052,0.0014424429586406,-4.348864687173509e-05,0.9998974977114834
0.9499999999999996,0.0394339606570711,0.0005690327471773453,0.0001230478747940698,1.0007056516999109
0.9490962238641982,0.0390372954343972,0.0008130610848089959,3.04080695752222e-05,1.0001220842524408
0.00139034454468,0.0193881709176724,0.0022673380837213,-8.798918075090686e-06,1.002352168620111
0.0025142630909766,0.0188570719016477,0.0041082688871741,-2.7723745908806403e-05,1.0019320778575362
0.0027807937526858,0.0193662184353519,0.002311823568368,-9.339052866671274e-06,1.0018495926161453
0.0016734759997919,0.0011085977670896,0.0040008486619708,2.880181762887142e-05,1.0025445919273193
0.0013878847683116,0.0005853729955654222,0.0021689135432305,9.994159781948704e-06,1.002691783735591
0.0027759790658164,0.0006072740119455731,0.0022159216799527,6.68483439042091e-06,1.0022139106593717
0.0036933283422268,0.0188008316482814,0.0042748792050002,1.1468395435537577e-06,1.001720800876017
0.0041720687498358,0.0193430940291321,0.0023835310129301,2.0982770652769137e-06,1.001614183705058
0.0029605213302178,0.018238360224936,0.0061738104446123,-3.159790615343836e-05,1.0018654947297736
0.0030362865790727,0.0010679006572078,0.0038275761404875,9.151914807020418e-06,1.002178060798422
0.0041649586279689,0.0006269440164412235,0.0022769738585219,-3.699047001605074e-06,1.0019448914983824
0.0025669339827412,0.0017299253368561,0.0060443936715099,2.8496199950156807e-05,1.002283749974575
0.0043271726959082,0.0011423767698177,0.0040784184941689,-7.2640901613232445e-06,1.0019038400101157
0.0055542124203894,0.0006405996697350712,0.0023366804848087,-1.974967909522167e-06,1.0015271562762618
0.0051904624797088,0.018739498091562,0.0044964341971366,4.291442546625575e-06,1.0013706378078722
0.0055637998976524,0.0193231843035068,0.0024625154739298,1.5703701879136502e-06,1.0012698407626506
0.0057364063127797,0.0011888632213559,0.0042298409345894,1.142019194287475e-06,1.001474122913098
0.0069433948770797,0.0006502769112489617,0.0023684167491893,2.6026945499500102e-06,1.0010451461369136
0.0042201882019694,0.0179545118684254,0.0070851166627767,1.9142225450883782e-05,1.0016625154944752
0.0029755156926044,0.0171856853170011,0.0094438313887427,-3.743953812565429e-05,1.001899901381414
